,EnsembleID,cluster
0,ENSMUSG00000000001,2
1,ENSMUSG00000000088,0
2,ENSMUSG00000000184,2
3,ENSMUSG00000000399,0
4,ENSMUSG00000000568,2
5,ENSMUSG00000001016,2
6,ENSMUSG00000001056,2
7,ENSMUSG00000001228,2
8,ENSMUSG00000001349,2
9,ENSMUSG00000001403,2
10,ENSMUSG00000001435,2
11,ENSMUSG00000001506,0
12,ENSMUSG00000001576,2
13,ENSMUSG00000001604,0
14,ENSMUSG00000001729,2
15,ENSMUSG00000001946,0
16,ENSMUSG00000002010,0
17,ENSMUSG00000002265,2
18,ENSMUSG00000002379,0
19,ENSMUSG00000002477,2
20,ENSMUSG00000002718,2
21,ENSMUSG00000002845,2
22,ENSMUSG00000002870,2
23,ENSMUSG00000002944,0
24,ENSMUSG00000002980,0
25,ENSMUSG00000003131,2
26,ENSMUSG00000003380,0
27,ENSMUSG00000003534,2
28,ENSMUSG00000003779,2
29,ENSMUSG00000003814,2
30,ENSMUSG00000003868,2
31,ENSMUSG00000004044,0
32,ENSMUSG00000004207,0
33,ENSMUSG00000004530,2
34,ENSMUSG00000004558,0
35,ENSMUSG00000004642,2
36,ENSMUSG00000004665,2
37,ENSMUSG00000004880,2
38,ENSMUSG00000004897,2
39,ENSMUSG00000005204,2
40,ENSMUSG00000005233,2
41,ENSMUSG00000005378,2
42,ENSMUSG00000005410,2
43,ENSMUSG00000005447,2
44,ENSMUSG00000005469,0
45,ENSMUSG00000005481,2
46,ENSMUSG00000005566,2
47,ENSMUSG00000005575,2
48,ENSMUSG00000005732,2
49,ENSMUSG00000005873,0
50,ENSMUSG00000005973,2
51,ENSMUSG00000006221,0
52,ENSMUSG00000006369,2
53,ENSMUSG00000006398,2
54,ENSMUSG00000006412,2
55,ENSMUSG00000006442,2
56,ENSMUSG00000006498,2
57,ENSMUSG00000006589,2
58,ENSMUSG00000006717,0
59,ENSMUSG00000006728,2
60,ENSMUSG00000006818,0
61,ENSMUSG00000007029,2
62,ENSMUSG00000007041,2
63,ENSMUSG00000007050,2
64,ENSMUSG00000007122,2
65,ENSMUSG00000007655,0
66,ENSMUSG00000007877,0
67,ENSMUSG00000008136,0
68,ENSMUSG00000008393,2
69,ENSMUSG00000008540,0
70,ENSMUSG00000008855,2
71,ENSMUSG00000009079,2
72,ENSMUSG00000009293,0
73,ENSMUSG00000009575,2
74,ENSMUSG00000009633,0
75,ENSMUSG00000011096,0
76,ENSMUSG00000011114,2
77,ENSMUSG00000011148,0
78,ENSMUSG00000011179,2
79,ENSMUSG00000011752,2
80,ENSMUSG00000014195,0
81,ENSMUSG00000014313,0
82,ENSMUSG00000015365,0
83,ENSMUSG00000015568,0
84,ENSMUSG00000015749,2
85,ENSMUSG00000015937,2
86,ENSMUSG00000016386,2
87,ENSMUSG00000016427,0
88,ENSMUSG00000016921,2
89,ENSMUSG00000017677,2
90,ENSMUSG00000017716,2
91,ENSMUSG00000017778,0
92,ENSMUSG00000018102,0
93,ENSMUSG00000018362,2
94,ENSMUSG00000018379,2
95,ENSMUSG00000018574,0
96,ENSMUSG00000018583,2
97,ENSMUSG00000018893,3
98,ENSMUSG00000019039,2
99,ENSMUSG00000019139,2
100,ENSMUSG00000019432,2
101,ENSMUSG00000019539,2
102,ENSMUSG00000019689,0
103,ENSMUSG00000019810,0
104,ENSMUSG00000019817,2
105,ENSMUSG00000019851,0
106,ENSMUSG00000019929,0
107,ENSMUSG00000019942,2
108,ENSMUSG00000019961,2
109,ENSMUSG00000020048,2
110,ENSMUSG00000020089,2
111,ENSMUSG00000020153,0
112,ENSMUSG00000020160,2
113,ENSMUSG00000020176,2
114,ENSMUSG00000020182,0
115,ENSMUSG00000020250,2
116,ENSMUSG00000020277,2
117,ENSMUSG00000020290,2
118,ENSMUSG00000020358,2
119,ENSMUSG00000020390,0
120,ENSMUSG00000020571,2
121,ENSMUSG00000020585,0
122,ENSMUSG00000020644,2
123,ENSMUSG00000020649,2
124,ENSMUSG00000020661,2
125,ENSMUSG00000020674,2
126,ENSMUSG00000020739,2
127,ENSMUSG00000020808,2
128,ENSMUSG00000020857,0
129,ENSMUSG00000020869,2
130,ENSMUSG00000020897,2
131,ENSMUSG00000020900,2
132,ENSMUSG00000020914,2
133,ENSMUSG00000020917,2
134,ENSMUSG00000020929,2
135,ENSMUSG00000020935,2
136,ENSMUSG00000021094,0
137,ENSMUSG00000021109,2
138,ENSMUSG00000021196,2
139,ENSMUSG00000021226,0
140,ENSMUSG00000021252,2
141,ENSMUSG00000021268,2
142,ENSMUSG00000021417,0
143,ENSMUSG00000021577,0
144,ENSMUSG00000021591,0
145,ENSMUSG00000021595,2
146,ENSMUSG00000021614,2
147,ENSMUSG00000021701,2
148,ENSMUSG00000021748,0
149,ENSMUSG00000021798,0
150,ENSMUSG00000021806,2
151,ENSMUSG00000021811,2
152,ENSMUSG00000021870,0
153,ENSMUSG00000021944,2
154,ENSMUSG00000022033,2
155,ENSMUSG00000022037,0
156,ENSMUSG00000022110,0
157,ENSMUSG00000022122,2
158,ENSMUSG00000022194,2
159,ENSMUSG00000022215,0
160,ENSMUSG00000022270,0
161,ENSMUSG00000022391,2
162,ENSMUSG00000022437,0
163,ENSMUSG00000022450,0
164,ENSMUSG00000022464,2
165,ENSMUSG00000022477,0
166,ENSMUSG00000022519,0
167,ENSMUSG00000022587,0
168,ENSMUSG00000022617,0
169,ENSMUSG00000022673,2
170,ENSMUSG00000022698,2
171,ENSMUSG00000022820,0
172,ENSMUSG00000022881,2
173,ENSMUSG00000022940,0
174,ENSMUSG00000022951,2
175,ENSMUSG00000022965,0
176,ENSMUSG00000023015,2
177,ENSMUSG00000023089,0
178,ENSMUSG00000023104,2
179,ENSMUSG00000023147,2
180,ENSMUSG00000023272,2
181,ENSMUSG00000023495,2
182,ENSMUSG00000023505,2
183,ENSMUSG00000023806,0
184,ENSMUSG00000023830,2
185,ENSMUSG00000023861,0
186,ENSMUSG00000023905,0
187,ENSMUSG00000023942,0
188,ENSMUSG00000024044,2
189,ENSMUSG00000024097,2
190,ENSMUSG00000024132,0
191,ENSMUSG00000024165,2
192,ENSMUSG00000024177,2
193,ENSMUSG00000024213,0
194,ENSMUSG00000024327,2
195,ENSMUSG00000024393,2
196,ENSMUSG00000024590,2
197,ENSMUSG00000024869,0
198,ENSMUSG00000024871,0
199,ENSMUSG00000024914,0
200,ENSMUSG00000024949,2
201,ENSMUSG00000024953,0
202,ENSMUSG00000024962,0
203,ENSMUSG00000024966,2
204,ENSMUSG00000025161,2
205,ENSMUSG00000025162,2
206,ENSMUSG00000025190,0
207,ENSMUSG00000025203,2
208,ENSMUSG00000025270,2
209,ENSMUSG00000025283,0
210,ENSMUSG00000025453,0
211,ENSMUSG00000025466,0
212,ENSMUSG00000025487,2
213,ENSMUSG00000025488,3
214,ENSMUSG00000025492,0
215,ENSMUSG00000025574,2
216,ENSMUSG00000025579,2
217,ENSMUSG00000025732,0
218,ENSMUSG00000025745,0
219,ENSMUSG00000025747,2
220,ENSMUSG00000025823,2
221,ENSMUSG00000025825,0
222,ENSMUSG00000025868,0
223,ENSMUSG00000026003,0
224,ENSMUSG00000026020,2
225,ENSMUSG00000026032,0
226,ENSMUSG00000026043,0
227,ENSMUSG00000026185,2
228,ENSMUSG00000026193,2
229,ENSMUSG00000026211,2
230,ENSMUSG00000026249,2
231,ENSMUSG00000026335,0
232,ENSMUSG00000026342,0
233,ENSMUSG00000026355,2
234,ENSMUSG00000026356,2
235,ENSMUSG00000026411,2
236,ENSMUSG00000026496,2
237,ENSMUSG00000026500,0
238,ENSMUSG00000026526,0
239,ENSMUSG00000026568,0
240,ENSMUSG00000026664,0
241,ENSMUSG00000026688,0
242,ENSMUSG00000026721,0
