ensembleID,cluster
ENSMUSG00000000001,7
ENSMUSG00000000088,2
ENSMUSG00000000184,7
ENSMUSG00000000399,2
ENSMUSG00000000568,7
ENSMUSG00000001016,7
ENSMUSG00000001056,7
ENSMUSG00000001228,7
ENSMUSG00000001349,7
ENSMUSG00000001403,7
ENSMUSG00000001435,7
ENSMUSG00000001506,2
ENSMUSG00000001576,3
ENSMUSG00000001604,1
ENSMUSG00000001729,7
ENSMUSG00000001946,5
ENSMUSG00000002010,2
ENSMUSG00000002265,0
ENSMUSG00000002379,2
ENSMUSG00000002477,5
ENSMUSG00000002718,7
ENSMUSG00000002845,7
ENSMUSG00000002870,7
ENSMUSG00000002980,2
ENSMUSG00000003131,7
ENSMUSG00000003380,1
ENSMUSG00000003534,7
ENSMUSG00000003779,7
ENSMUSG00000003814,7
ENSMUSG00000003868,7
ENSMUSG00000004044,2
ENSMUSG00000004207,2
ENSMUSG00000004530,7
ENSMUSG00000004558,2
ENSMUSG00000004642,7
ENSMUSG00000004665,7
ENSMUSG00000004880,7
ENSMUSG00000004897,7
ENSMUSG00000005204,7
ENSMUSG00000005233,0
ENSMUSG00000005378,3
ENSMUSG00000005410,7
ENSMUSG00000005447,7
ENSMUSG00000005469,2
ENSMUSG00000005481,7
ENSMUSG00000005566,7
ENSMUSG00000005575,7
ENSMUSG00000005732,0
ENSMUSG00000005873,4
ENSMUSG00000005973,7
ENSMUSG00000006221,1
ENSMUSG00000006369,7
ENSMUSG00000006398,3
ENSMUSG00000006412,5
ENSMUSG00000006442,7
ENSMUSG00000006498,7
ENSMUSG00000006589,7
ENSMUSG00000006717,2
ENSMUSG00000006728,7
ENSMUSG00000006818,2
ENSMUSG00000007029,7
ENSMUSG00000007041,2
ENSMUSG00000007050,7
ENSMUSG00000007122,7
ENSMUSG00000007655,5
ENSMUSG00000007877,2
ENSMUSG00000008136,2
ENSMUSG00000008393,7
ENSMUSG00000008540,2
ENSMUSG00000008855,2
ENSMUSG00000009079,5
ENSMUSG00000009293,2
ENSMUSG00000009575,7
ENSMUSG00000009633,2
ENSMUSG00000011096,4
ENSMUSG00000011114,7
ENSMUSG00000011148,4
ENSMUSG00000011179,7
ENSMUSG00000011752,7
ENSMUSG00000014195,2
ENSMUSG00000014313,2
ENSMUSG00000015365,2
ENSMUSG00000015568,2
ENSMUSG00000015749,6
ENSMUSG00000015937,7
ENSMUSG00000016386,7
ENSMUSG00000016427,2
ENSMUSG00000016921,7
ENSMUSG00000017677,7
ENSMUSG00000017716,7
ENSMUSG00000018102,2
ENSMUSG00000018362,7
ENSMUSG00000018379,7
ENSMUSG00000018574,2
ENSMUSG00000018583,7
ENSMUSG00000018893,2
ENSMUSG00000019039,7
ENSMUSG00000019139,7
ENSMUSG00000019432,7
ENSMUSG00000019539,7
ENSMUSG00000019689,2
ENSMUSG00000019810,4
ENSMUSG00000019817,7
ENSMUSG00000019851,4
ENSMUSG00000019942,0
ENSMUSG00000019961,7
ENSMUSG00000020048,7
ENSMUSG00000020089,5
ENSMUSG00000020153,2
ENSMUSG00000020160,3
ENSMUSG00000020176,7
ENSMUSG00000020182,2
ENSMUSG00000020250,5
ENSMUSG00000020277,7
ENSMUSG00000020290,7
ENSMUSG00000020358,7
ENSMUSG00000020390,1
ENSMUSG00000020571,7
ENSMUSG00000020585,2
ENSMUSG00000020644,0
ENSMUSG00000020649,0
ENSMUSG00000020661,0
ENSMUSG00000020674,7
