cCRE_ID,cluster
chr11:117526658-117527034,0
chr10:58231830-58232188,2
chr1:193152894-193153336,0
chr11:113807142-113807420,0
chr15:88036644-88036980,0
chr15:77019400-77019992,5
chr2:31197980-31198270,6
chr6:136857523-136858178,6
chr13:91877287-91877720,1
chr11:69096944-69097280,1
chr16:38363330-38363554,1
chr15:93519820-93520037,1
chr10:79859250-79859521,2
chr11:20331970-20332230,2
chr3:66977000-66977266,4
chr4:147422208-147422430,2
chr1:73932440-73932825,5
chr9:90198576-90199070,7
chr4:136462274-136462815,0
chr14:121365478-121366190,2
chr19:5725094-5725394,1
chr8:83577390-83577690,7
chr10:120474310-120474530,4
chr4:130013480-130013692,0
chr2:102451290-102451610,4
chr19:43939898-43940400,1
chr17:67697040-67697580,4
chr10:42027060-42027361,0
chr17:63012243-63012638,1
chr2:164874289-164874655,1
chr19:40487706-40487950,1
chr6:134716142-134716500,6
chr1:91009860-91010090,1
chr17:73126426-73126770,1
chr17:12724760-12725278,1
chr14:58070520-58070760,0
chr10:91241252-91241867,1
chr13:30345340-30345840,1
chr2:179442240-179442927,4
chr1:120757809-120758188,1
chr12:108237712-108237934,1
chrX:58015709-58015921,2
chr15:102722650-102722914,1
chr19:8987908-8988168,5
chr10:83019790-83020080,0
chr18:33849236-33849598,5
chr3:154331420-154331786,2
chr9:69899382-69899678,2
chr11:120344490-120344790,1
chr3:10140846-10141260,2
chr11:94450684-94450892,5
chr13:81711800-81712195,2
chr17:6476760-6477408,0
chr17:12799412-12799920,1
chr11:86731294-86731787,1
chr9:35045536-35045790,7
chr10:81633541-81633924,2
chr11:74619200-74619718,3
chr11:120949900-120950189,0
chr14:65266366-65266729,2
chr13:69498898-69499290,1
chr10:60081614-60082138,5
chr13:63260800-63261232,1
chr11:37235356-37235652,4
chr14:33365110-33365610,4
chr14:20836580-20836934,0
chr13:51848354-51848644,0
chr19:56721388-56721660,0
chr13:73274274-73274516,0
chr9:14641639-14642190,6
chr2:155604920-155605389,0
chr7:4122530-4122760,0
chr12:55443234-55443569,1
chr10:77434642-77435160,1
chr18:58162086-58162562,1
chr4:139089288-139089568,0
chrX:52744300-52744674,2
chr6:29200700-29200970,0
chr10:29143540-29143780,2
chr19:5407240-5407444,1
chr3:41173610-41173890,1
chr1:178645944-178646302,3
chr8:88316620-88317014,0
chr6:24955622-24956220,4
chr10:81411776-81412400,5
chr16:33606603-33606866,1
chr1:52150714-52151030,1
chr14:19759260-19759621,6
chr12:20232730-20233100,2
chr9:60757700-60758528,6
chr14:28507580-28507940,4
chr6:48440572-48440816,6
chr1:134858662-134859025,1
chr18:66458223-66458807,4
chr1:75218600-75219078,0
chr16:85749373-85749610,1
chr2:167594460-167594900,1
chr13:49215352-49215720,5
chr13:99238590-99238919,1
