cCRE_ID,cluster
chr11:117526658-117527034,3
chr1:193152894-193153336,1
chr15:88036644-88036980,1
chr15:77019400-77019992,4
chr2:31197980-31198270,5
chr6:136857523-136858178,0
chr11:69096944-69097280,2
chr16:38363330-38363554,2
chr10:79859250-79859521,2
chr3:66977000-66977266,5
chr4:147422208-147422430,5
chr1:73932440-73932825,4
chr4:136462274-136462815,5
chr14:121365478-121366190,5
chr19:5725094-5725394,4
chr8:83577390-83577690,5
chr4:130013480-130013692,3
chr19:43939898-43940400,1
chr2:164874289-164874655,2
chr6:134716142-134716500,0
chr17:12724760-12725278,2
chr10:91241252-91241867,6
chr13:30345340-30345840,6
chr15:102722650-102722914,6
chr19:8987908-8988168,4
chr10:83019790-83020080,3
chr18:33849236-33849598,4
chr3:154331420-154331786,5
chr9:69899382-69899678,5
chr11:120344490-120344790,2
chr3:10140846-10141260,5
chr11:94450684-94450892,4
chr17:6476760-6477408,1
chr17:12799412-12799920,2
chr11:86731294-86731787,6
chr10:81633541-81633924,7
chr11:74619200-74619718,0
chr11:120949900-120950189,5
chr14:65266366-65266729,5
chr13:69498898-69499290,2
chr10:60081614-60082138,4
chr14:20836580-20836934,3
chr13:51848354-51848644,1
chr2:155604920-155605389,7
chr7:4122530-4122760,7
chr10:77434642-77435160,6
chr4:139089288-139089568,3
chrX:52744300-52744674,2
chr19:5407240-5407444,1
chr1:178645944-178646302,0
chr6:24955622-24956220,7
chr10:81411776-81412400,4
chr1:52150714-52151030,2
chr14:19759260-19759621,5
chr6:48440572-48440816,0
chr1:134858662-134859025,6
chr1:75218600-75219078,3
chr2:167594460-167594900,4
chr13:49215352-49215720,4
chr7:139467846-139468270,5
chr17:34205001-34205242,1
chr19:7066534-7066862,3
chr12:25099440-25099800,5
chr7:143108217-143108506,5
chr4:133660252-133660734,5
chr2:166459924-166460360,0
chr9:21463260-21463549,5
chr11:119392930-119393348,4
chr4:131921050-131921360,0
chr17:25082084-25082479,4
chr10:71052200-71052688,2
chr14:54984026-54984262,2
chr13:24565560-24566350,2
chr16:4500649-4501056,6
chr5:34196890-34197196,1
chr1:88218658-88218875,5
chr11:119095271-119095547,0
chr10:81591726-81592058,3
chr12:86104226-86104764,2
chr8:122321409-122322010,0
chr15:99319070-99319346,4
chr8:120289279-120290148,5
chr11:61366560-61367166,4
chr5:128596824-128597206,5
chr2:30784494-30784898,0
chr15:80711830-80712104,1
chr15:97786652-97787020,7
chr11:88187536-88187948,1
chr18:11233050-11233370,4
chr10:57114812-57115190,6
chr11:11954240-11954523,2
chr1:74001536-74001950,4
chr3:95667972-95668323,2
chr2:151008751-151009500,0
chr16:93290210-93290700,1
chr3:95674168-95674500,1
chr12:113142548-113142840,4
chr11:103382034-103382378,6
chr11:4594194-4594970,1
chr8:70813422-70813659,3
chr11:97446230-97446504,0
chr8:71457750-71458040,7
chr4:135573042-135573325,5
chr17:34836510-34837190,7
chr16:4512760-4513072,6
chr11:120950318-120950534,5
chr11:101063758-101064310,2
chr8:10957628-10957865,0
chr9:46012580-46013270,0
chr9:53706143-53706420,7
chr17:23540166-23540430,7
chr2:27673291-27673659,5
chr6:124910000-124910440,7
chr11:120950697-120951207,5
chr7:66047604-66047876,3
chr13:55107686-55108042,6
chr16:20672630-20673324,1
chr7:80069683-80070088,5
chr11:68657450-68657831,2
chr1:180904070-180904618,7
chr4:43424060-43424340,3
chr18:11073470-11073750,2
chr16:91790118-91790448,0
chr1:87853857-87854104,3
chr11:3132140-3132431,1
chr13:23620810-23621050,2
chr10:117906277-117906652,4
chr5:129730384-129730672,5
chr7:4856970-4857180,1
chr11:98949714-98949918,4
chr5:138989756-138989966,5
chr4:135551956-135552170,0
chr2:154373953-154374250,1
chr8:84773910-84774202,2
chr2:118674472-118674836,1
chr5:133666588-133666791,1
chr1:180367336-180367648,4
chr9:48662122-48662453,3
chr15:76465456-76465694,5
chr11:68780461-68780820,1
chr6:117390480-117390816,2
chr8:13253954-13254420,5
chr10:86302280-86302673,4
chr18:34409784-34410098,6
chr10:80538926-80539352,7
chr7:92457850-92458200,5
chr6:88941546-88941963,5
chr17:25942800-25943057,0
chr10:37617818-37618272,1
chr8:84703810-84704030,0
chr1:193382236-193382716,0
chr1:179041830-179042189,2
chr16:18426110-18426660,7
chr16:94722800-94723158,1
chr1:51288770-51289534,2
chr17:23537680-23537880,5
chr4:136238426-136238662,7
chr3:99258036-99258500,5
chr16:94721445-94722023,2
chr3:152122690-152123074,0
chr6:149101152-149101952,5
chr11:3374260-3374560,5
chr7:18873188-18873620,5
chr11:117092762-117092968,1
chr11:100979918-100980172,4
chr16:17891700-17891920,1
chr2:32174758-32174968,2
chr16:38689800-38690240,2
chr4:108878997-108879467,7
chr7:65878366-65878698,1
chr12:110511852-110512359,2
chr11:72416750-72417138,5
chr15:98976820-98977064,4
chr11:88214260-88214481,4
chr18:69414530-69414775,6
chr15:85653414-85654035,4
chr13:5604070-5604729,6
chr7:102267408-102267951,0
chr13:51792797-51793246,1
chr6:97487720-97488066,5
chr2:84938301-84938868,0
chr9:57637719-57638316,5
chr15:85205900-85206320,0
chr10:62843836-62844178,6
chr3:57294866-57295297,2
chr3:97802362-97802762,2
chr11:102646212-102646534,0
chr11:103220107-103220376,3
chr17:13551776-13552020,3
chr8:120190996-120191458,2
chr7:19212406-19212652,1
chr3:36000382-36000794,1
chr19:6840226-6840905,1
chr1:179281848-179282150,6
chr2:32888632-32888988,5
chr15:76457010-76457375,1
chr3:89349654-89350402,1
chr2:131686845-131687171,2
chr11:33139520-33139784,1
chr2:120024276-120024640,4
chr4:154509320-154509564,5
chr2:31341800-31342234,2
chr2:4253410-4253684,6
chr2:36148920-36149484,6
chr15:85660936-85661282,3
chr11:32267398-32267786,5
chr15:76087180-76087487,3
chr12:112906724-112906926,3
chr11:51857011-51857430,4
chr9:107971710-107972130,0
chr15:103361464-103361862,2
chr15:76343380-76344250,1
chr9:108626520-108626924,5
chr15:103285840-103286098,6
chr13:74462690-74463126,2
chr11:18958256-18958655,2
chr18:69416481-69416814,2
chr17:33999840-34000460,3
chr13:29627877-29628159,2
chr1:75398830-75399468,2
chr3:96327990-96328466,0
chr11:115535812-115536170,1
chr11:75194260-75194550,1
chr1:165104815-165105378,0
chr2:72235411-72235934,4
chr15:85600326-85600800,1
chr7:16950138-16950460,1
chr7:127751762-127752097,3
chr19:4169410-4169898,4
chr6:87524239-87524590,7
chr8:94174910-94175167,3
chr1:42691300-42691712,5
chr13:110696640-110696943,6
chr7:4752140-4753262,0
chr8:13493304-13493640,2
chr6:31560130-31560480,0
chr2:18766916-18767330,4
chr8:84809168-84809494,7
chr17:12790570-12791046,2
chr5:139735880-139736618,0
chr15:89387074-89387326,3
chr11:5892189-5892530,0
chr8:120487030-120487300,0
chr11:75153280-75153530,4
chr6:113465682-113465968,1
chr15:97831300-97831962,4
chr1:181016102-181016340,4
chr15:78403617-78403996,4
chr7:4994303-4994686,7
chr17:35719708-35719964,4
chr3:101598668-101598870,2
chr8:94178936-94179224,5
chr3:87174345-87174876,0
chr11:115393822-115394046,3
chr11:118976021-118976259,5
chr17:56218567-56219070,1
chr1:73948766-73949148,4
chr12:72719488-72720074,6
chr7:141391984-141392346,0
chr7:139198890-139199100,5
chr15:79741933-79742710,1
chr15:79243740-79243966,4
chr16:4270750-4271260,4
chr13:101691110-101691590,4
chr11:117266490-117266704,5
chr10:60828360-60828750,0
chr16:96210866-96211290,2
chr18:35052220-35052570,6
chr15:82379596-82379830,4
chr7:99316196-99316414,3
chr7:141099960-141100310,3
chr14:34573754-34574511,4
chr11:119156590-119156964,3
chr10:37620321-37620698,0
chr4:130311197-130311478,6
chr6:83038660-83038920,7
chr7:126324862-126325090,0
chr16:94828158-94828468,1
chr2:30995852-30996312,4
chr8:70503476-70503773,7
chr3:94757946-94758354,1
chr2:153528543-153528908,7
chr2:106693584-106694400,0
chr11:5897910-5898300,0
chr10:81037154-81037560,3
chr11:75013415-75013717,6
chr19:7072670-7072910,3
chr11:60232980-60233328,4
chr8:84707680-84707934,0
chr7:98177986-98178432,0
chrX:101849870-101850440,0
chr10:81364650-81364929,5
chr11:75046961-75047406,2
chrX:101733896-101734121,1
chr17:35776924-35777318,4
chr11:102088008-102088726,0
chr7:19083422-19083892,5
chr11:3154066-3154266,5
chr3:122142211-122142700,0
chr3:95905288-95905650,5
chr1:74322683-74322937,4
chr11:117783784-117783995,1
chr12:112145270-112145594,1
chr1:172520631-172521307,7
chr5:114100022-114100644,7
chr7:46098250-46098788,5
chr7:29792984-29793258,1
chr10:78752900-78753130,7
chr1:172526414-172526990,2
chr7:112362650-112363129,5
chr17:46540230-46540594,3
chr12:111704646-111705090,4
chr2:166510726-166511131,6
chr12:85175960-85176230,0
chr1:74049552-74049854,4
chr12:24706840-24707050,7
chr7:143094810-143095146,3
chr11:95509269-95509634,3
chr14:31557996-31558284,3
chr11:115809296-115809674,4
chr15:86172246-86172768,4
chr11:75649042-75649485,4
chr11:116573774-116574055,0
chr4:43425714-43425980,3
chr10:81246216-81246574,3
chr8:70851374-70851658,3
chr11:60175740-60176400,4
chr8:45068850-45069256,5
chr9:115867310-115867638,5
chr1:72872590-72872914,0
chr8:75211482-75211860,6
chr12:71747626-71748193,6
chr16:23300230-23300430,5
chr14:54984990-54985224,6
chr14:63274200-63274510,6
chr7:4151260-4151547,2
chr11:72407190-72407400,1
chr1:9564514-9564874,6
chr3:101590213-101590566,2
chr15:35297754-35298034,7
chr4:154334688-154334989,5
chr5:138988848-138989124,5
chr18:35650704-35651002,1
chr14:104453916-104454160,5
chr9:121791736-121792056,2
chr2:32734362-32734677,1
chr3:102010190-102010404,5
chr19:3321653-3321880,4
chr1:135862074-135862379,4
chr16:38651670-38652140,2
chr14:63054790-63055466,0
chr10:77634818-77635150,2
chr2:120106670-120106874,6
chr11:102216638-102216908,4
chr18:11071060-11071282,2
chr11:97695174-97695610,6
chr11:101867727-101867940,2
chr14:7952691-7953240,1
chr10:59951269-59951500,4
chr16:20091132-20091490,6
chr17:24644828-24645190,1
chr10:84967696-84967950,6
chr8:83578681-83578945,5
chr11:88214502-88214824,4
chr11:60106080-60106364,1
chr15:82342550-82342879,1
chr6:3182900-3183433,5
chr17:45680640-45681028,1
chr15:81810222-81810490,4
chr1:71652690-71653400,0
chr12:113137856-113138090,4
chr19:4214115-4214503,7
chr13:51100574-51101108,1
chr15:99498680-99499139,1
chr1:165114495-165115140,0
chr16:21247170-21247462,0
chr13:37862527-37862991,7
chr7:141462000-141462310,5
chr17:31746708-31747102,4
chr1:88226962-88227190,5
chr10:59943674-59944004,1
chr19:36348134-36348460,1
chr5:137287994-137288450,0
chr15:73730417-73730732,4
chr1:125560450-125561090,1
chr11:69372327-69372544,0
chr15:35296400-35296746,7
chr5:115543718-115544222,2
chr17:33802112-33802620,2
chr6:91736416-91736786,2
chr19:36256912-36257204,2
chr11:94947164-94947386,1
chr8:120293918-120294306,0
chr2:68458226-68458470,2
chr10:59916270-59916870,4
chr2:173035025-173035330,0
chr1:165105696-165106076,0
chr9:71709206-71709629,0
chr11:18957622-18958034,2
chr8:122736102-122736607,0
chr2:31165600-31165810,5
chr1:168247282-168247546,2
chr15:89387591-89387853,3
chr18:35021960-35022660,4
chr8:70453136-70453476,0
chr15:25933660-25934008,4
chr9:69470877-69471281,5
chr2:70337724-70338110,0
chr13:75088650-75088856,5
chr8:13493990-13494360,2
chr1:88279556-88279861,5
chr2:36210784-36210988,3
chr3:84470830-84471030,0
chr10:61380140-61380552,4
chr15:77018912-77019140,1
chr19:7266898-7267146,4
chr12:84450914-84451540,1
chr11:107342396-107342681,6
chr12:85434122-85434350,7
chr2:163337118-163337560,3
chr11:119038866-119039070,3
chr13:37629190-37629490,4
chr2:167628899-167629170,7
chr10:18482682-18482912,2
chr11:75163318-75163620,3
chr11:117792293-117792595,7
chr7:100466978-100467420,0
chr4:150090897-150091290,4
chr12:71863962-71864290,2
chr17:27325070-27325388,5
chr1:193332690-193333078,4
chr12:3887510-3888039,5
chr7:100950622-100950862,5
chr1:58711030-58711280,2
chr11:52000710-52000920,1
chr15:96693832-96694094,6
chr3:9440613-9440867,6
chr18:34410284-34410600,4
chr17:55944930-55945752,2
chr15:25942117-25942530,4
chr11:87726044-87726788,0
chr3:88719108-88719470,6
chr10:80678121-80678439,2
chr2:103896230-103896530,0
chr3:153852343-153852712,0
chr3:95053740-95053984,2
chr1:73919913-73920444,4
chr2:92424930-92425220,4
chr16:38688020-38688532,6
chr11:76483030-76483378,5
chr14:54994492-54995114,4
chr17:24503758-24503997,3
chr10:44478170-44478523,1
chr15:100199812-100200125,6
chr11:52561314-52561610,5
chr15:99663950-99664304,0
chr13:37777398-37777746,3
chr1:135524218-135524542,4
chr11:33137410-33138000,1
chr8:46216928-46217321,2
chr10:86975310-86975590,1
chr15:83344414-83344780,1
chr4:154599732-154600193,3
chr17:35434970-35435180,1
chr2:104451018-104451232,6
chr17:56728230-56728520,4
chr3:96012830-96013210,6
chr7:17060840-17061190,5
chr11:24202953-24203360,0
chr16:94601688-94601968,2
chr10:3395267-3395818,2
chr11:22971860-22972108,5
chr4:141767423-141767710,5
chr19:5740980-5741308,4
chr4:135575304-135575589,3
chr18:11066790-11067250,2
chr8:84792537-84792896,4
chr19:3322338-3322580,4
chr6:89351657-89351984,5
chr18:36286203-36286844,1
chr15:78541680-78542089,4
chr16:91716913-91717290,0
chr4:148900655-148901163,5
chr11:101231978-101232397,2
chr3:96557712-96557973,1
chr10:18844782-18845234,4
chr12:83411792-83412466,4
chr1:74017142-74017376,4
chr15:82938260-82938480,0
chr13:23410742-23411078,5
chr14:32093600-32094050,6
chr10:44529306-44529680,7
chr11:75292973-75293224,4
chr2:129818855-129819171,6
chr5:144258125-144258420,5
chr12:73112500-73112896,7
chr6:90463278-90463780,5
chr14:54966347-54966555,4
chr2:32734754-32735232,4
chr1:178530610-178530850,0
chr17:56830272-56830539,3
chr10:80015114-80015442,3
chr17:27796876-27797124,6
chr11:103096946-103097442,4
chr1:58030031-58030826,6
chr12:75818108-75819013,1
chr2:120404050-120404540,2
chr6:112274362-112274602,5
chr14:66341062-66341526,2
chr12:84671570-84671826,7
chr15:84251274-84251649,2
chr9:69505592-69505870,5
chr11:100960610-100960908,4
chr5:135835235-135835554,7
chr11:69415326-69415630,2
chr15:83760664-83760970,7
chr1:51265845-51266216,2
chr14:45456446-45456816,6
chr1:172296044-172296318,1
chr16:4212980-4213973,1
chr16:37776896-37777640,5
chr16:96148564-96149086,7
chr14:25738660-25738972,4
chr19:37315214-37315559,6
chr11:98394358-98394655,4
chr2:92427982-92428206,6
chr8:95427284-95427536,5
chr10:59969820-59970248,4
chr17:12991729-12992730,1
chr3:83993085-83993357,6
chr12:72943776-72944206,5
chr1:24684013-24684260,7
chr2:91252422-91252854,2
chr17:80801982-80802280,4
chr7:44472250-44472553,5
chr19:7083219-7083572,3
chr15:79112738-79112994,6
chr14:63231441-63231790,2
chr16:20695984-20696253,1
chr13:74493974-74494354,1
chr19:41835885-41836352,0
chrX:169984790-169985195,0
chr17:25127147-25127546,0
